Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Kolkata,West Bengal,India",01/01/2022,16.0,23.0,19.1,15.1,79.26,,11.4,,317.63,,0.0,0.0,,1.6,10.8,1018.6,"Mist, Fog, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/02/2022,14.0,23.0,17.9,14.6,82.32,,9.2,,310.79,,0.0,0.0,,1.4,21.9,1017.2,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/03/2022,14.0,24.0,18.4,14.1,77.64,,8.1,,270.77,,0.0,0.0,,1.5,17.1,1015.9,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/04/2022,13.0,23.0,17.6,13.4,78.03,,6.9,,264.74,,0.0,0.0,,1.3,1.1,1016.6,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/05/2022,13.0,24.0,17.9,13.0,75.68,,10.3,,260.83,,0.0,0.0,,1.3,6.3,1015.8,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/06/2022,13.9,25.0,19.0,13.6,73.7,,6.9,,106.87,,0.0,0.0,,1.4,3.7,1015.2,"Mist, Precipitation In Vicinity, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/07/2022,15.0,26.0,20.2,15.8,77.5,,6.9,,221.29,,0.0,0.0,,1.4,0.6,1015.9,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/08/2022,16.0,27.0,21.4,15.8,73.44,27.3,8.1,,120.23,,0.0,0.0,,1.5,1.6,1015.7,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/09/2022,16.8,27.0,21.4,17.5,79.58,28.2,6.9,,51.85,,0.0,0.0,,1.6,1.8,1013.7,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/10/2022,16.0,26.7,21.6,17.7,79.62,27.5,6.9,,87.0,,0.0,0.0,,1.5,34.1,1014.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
